Macy's Inc,US55616P1049,2.53
Redwood Trust Inc.,US7580754023,2.26
LTC Properties Inc.,US5021751020,2.03
Universal Corp,US9134561094,1.93
AT&T Inc.,US00206R1023,1.93
International Business Machines Corporation,US4592001014,1.77
Gap Inc.,US3647601083,1.71
Dominion Energy Inc,US25746U1097,1.70
freenet AG,DE000A0Z2ZZ5,1.68
Janus Henderson Group PLC,JE00BYPZJM29,1.67
Brandywine Realty Trust,US1053682035,1.67
Olin Corporation,US6806652052,1.65
Tapestry Inc.,US8760301072,1.64
Mercury General Corporation,US5894001008,1.63
Schweitzer-Mauduit International Inc.,US8085411069,1.60
PPL Corporation,US69351T1060,1.56
CenterPoint Energy Inc.,US15189T1079,1.54
H&R Block Inc.,US0936711052,1.54
International Paper Company,US4601461035,1.47
Exxon Mobil Corporation,US30231G1022,1.46
Enagas SA,ES0130960018,1.46
Abercrombie & Fitch Co. Class A,US0028962076,1.38
WestRock Company,US96145D1054,1.35
Domtar Corporation,US2575592033,1.34
Umpqua Holdings Corporation,US9042141039,1.34
Northwest Bancshares Inc.,US6673401039,1.28
Japan Tobacco Inc.,JP3726800000,1.27
Unibail-Rodamco-Westfield SE Stapled Secs Cons of 1 Sh Unibail Rodamco + 1 Sh WFD Unib Rod,FR0013326246,1.25
People's United Financial Inc.,US7127041058,1.25
Red Electrica Corp. SA,ES0173093024,1.20
Lagardere SCA,FR0000130213,1.19
AGL Energy Limited,AU000000AGL7,1.18
Prudential Financial Inc.,US7443201022,1.14
SUBARU CORP,JP3814800003,1.11
Canon Inc.,JP3242800005,1.07
Skandinaviska Enskilda Banken AB Class A,SE0000148884,1.04
Lenovo Group Limited,HK0992009065,1.02
Klepierre SA,FR0000121964,1.02
Nokian Renkaat Oyj,FI0009005318,1.01
Mitsubishi Chemical Holdings Corporation,JP3897700005,0.98
Hengan International Group Co. Ltd.,KYG4402L1510,0.97
Bendigo & Adelaide Bank Ltd.,AU000000BEN6,0.97
Societe BIC SA,FR0000120966,0.96
SK Innovation Co. Ltd,KR7096770003,0.96
Swisscom AG,CH0008742519,0.94
SUEZ SA,FR0010613471,0.93
Kingfisher Plc,GB0033195214,0.93
Foschini Group Limited,ZAE000148466,0.91
WPP Plc,JE00B8KF9B49,0.90
IG Group Holdings plc,GB00B06QFB75,0.89
Daito Trust Construction Co. Ltd.,JP3486800000,0.88
Total SA,FR0000120271,0.86
Comfortdelgro Corporation Limited,SG1N31909426,0.86
GlaxoSmithKline plc,GB0009252882,0.85
Svenska Handelsbanken AB Class A,SE0007100599,0.85
Publicis Groupe SA,FR0000130577,0.84
Bouygues SA,FR0000120503,0.83
KT & G Corporation,KR7033780008,0.81
SK Telecom Co. Ltd.,KR7017670001,0.79
Commonwealth Bank of Australia,AU000000CBA7,0.78
Investec plc,GB00B17BBQ50,0.78
Thanachart Capital Public Co. Ltd. NVDR,TH0083010R14,0.78
Komatsu Ltd.,JP3304200003,0.76
Fortum Oyj,FI0009007132,0.76
SmartCentres Real Estate Investment Trust,CA83179X1087,0.75
Keyera Corp.,CA4932711001,0.71
BCE Inc.,CA05534B7604,0.71
Konecranes Oyj,FI0009005870,0.71
Legal & General Group Plc,GB0005603997,0.71
Challenger Limited,AU000000CGF5,0.69
RioCan Real Estate Investment Trust,CA7669101031,0.69
Zurich Insurance Group Ltd,CH0011075394,0.69
UPM-Kymmene Oyj,FI0009005987,0.68
Power Assets Holdings Limited,HK0006000050,0.67
Pembina Pipeline Corporation,CA7063271034,0.67
Sino Land Co. Ltd.,HK0083000502,0.65
Northland Power Inc.,CA6665111002,0.64
Hysan Development Co. Ltd.,HK0014000126,0.64
Oversea-Chinese Banking Corporation Limited,SG1S04926220,0.62
TELUS Corporation,CA87971M1032,0.61
ORIX Corporation,JP3200450009,0.61
TC Energy Corporation,CA87807B1076,0.61
FirstRand Limited,ZAE000066304,0.60
MS&AD Insurance Group Holdings Inc.,JP3890310000,0.60
Canadian Utilities Limited Class A,CA1367178326,0.60
CK Infrastructure Holdings Limited,BMG2178K1009,0.59
Mitsubishi UFJ Financial Group Inc.,JP3902900004,0.59
Emera Incorporated,CA2908761018,0.59
Shaw Communications Inc. Class B,CA82028K2002,0.58
ageas SA/NV,BE0974264930,0.53
CNP Assurances SA,FR0000120222,0.53
Wharf Real Estate Investment Co. Ltd.,KYG9593A1040,0.52
Scor SE,FR0010411983,0.52
Laurentian Bank of Canada,CA51925D1069,0.42
Canadian Imperial Bank of Commerce,CA1360691010,0.37
Bank of Nova Scotia,CA0641491075,0.34
Great-West Lifeco Inc.,CA39138C1068,0.33
Power Corporation of Canada,CA7392391016,0.31
Bank of Montreal,CA0636711016,0.27
